headline,snippet,pub_date,web_url
London Stock Exchange Delays Opening After Technical Problem,The start of morning trading was pushed back one hour and 40 minutes as the stock exchange tried to determine the cause.,2019-08-16T09:19:51+0000,https://www.nytimes.com/2019/08/16/business/lse-delay-stocks.html
Stocks Whipsaw as Traders Face Conflicting Trade War Signals,"Beijing first vowed to retaliate against new tariffs, even after Trump postponed some of them, but then appeared to soften its stance.",2019-08-15T08:05:33+0000,https://www.nytimes.com/2019/08/15/business/stock-market-today.html
Stocks on Wall St. Rebound From Trade War-Driven Drop,"Protest-stricken Hong Kong led losses in Asia, but Europe opened only mildly lower and U.S. stocks moderated as well.",2019-08-13T08:14:45+0000,https://www.nytimes.com/2019/08/13/business/global-markets.html
Stock Markets Hit Pause After Wall Street’s Trade-Driven Rout,Wall Street recovered some of its losses as Monday’s panic over an escalating trade war eased.,2019-08-06T08:55:18+0000,https://www.nytimes.com/2019/08/06/business/global-markets.html
British Pound Falls to Two-Year Low Amid U.K. Economic Worries,"The currency fell against the dollar to its lowest level in two years, as investors grew worried about the country’s prospects and the specter of a no-deal Brexit.",2019-07-09T12:33:10+0000,https://www.nytimes.com/2019/07/09/business/uk-pound-dollar.html
"S&P and Dow Follow Global Markets Higher, as Investors Take Heart in Trade Thaw","A resumption of negotiations between Washington and Beijing lifted markets. Still, many doubt the two sides can reach a deal anytime soon.",2019-07-01T03:27:07+0000,https://www.nytimes.com/2019/07/01/business/global-markets.html
Stock Market Drop Extends to Fourth Day as U.S. Prepares to Raise China Tariffs,"President Trump and Beijing both indicated that a trade war could continue, surprising businesses and investors who had expected a resolution this week.",2019-05-09T10:53:59+0000,https://www.nytimes.com/2019/05/09/business/china-tariffs-stock-market.html
Wall Street’s Slump Continues Over Trade War Concerns,"The sell-off has been driven by a sudden shift in tone surrounding the trade talks between the world’s two largest economies, China and the United States.",2019-05-08T08:28:00+0000,https://www.nytimes.com/2019/05/08/business/global-markets.html
Global Stocks Fall as Pessimism Continues,"Worries that the United States economy could slip into recession plagued investors for the second straight trading day. In Japan, the market fell 3 percent.",2019-03-25T08:18:18+0000,https://www.nytimes.com/2019/03/25/business/stock-market.html
Stocks Climb as Investors Look to China-U.S. Trade Talks,Investors have grown worried about the potential economic impact of the trade war. Progress on talks between the United States and China could be a catalyst for more gains.,2019-01-07T08:59:59+0000,https://www.nytimes.com/2019/01/07/business/global-stock-markets.html
Stocks Surge as Powell Signals Fed Flexibility and Jobs Data Eases Worries,"Investors were heartened after the Fed chairman, Jerome H. Powell, said policymakers would adjust plans as data warranted, and a report showed robust job growth in December.",2019-01-04T10:55:38+0000,https://www.nytimes.com/2019/01/04/business/global-stock-markets.html
Stocks Wobble as a Bumpy Week on Wall St. Comes to a Close,"A muted session on Friday contrasted sharply with trading during the rest of the holiday week, when stocks rose or fell sharply — sometimes doing both the same day.",2018-12-28T09:06:53+0000,https://www.nytimes.com/2018/12/28/business/global-stock-market.html
Mixed Day for Global Markets as Bumpy Run for Investors Takes a Pause,"Stocks rose in Asia, were largely flat in Europe and appeared poised for an up-and-down start to the day on Wall Street.",2018-12-13T14:07:21+0000,https://www.nytimes.com/2018/12/13/business/global-markets-stocks.html
Wall St. Gives Up Early Gains as Boost From China-U.S. Trade Talks Fades,"The downturn was the latest swing in a volatile stretch shaped by, among other things, investors’ worries over a slowing global economy and trade tensions between the United States and China.",2018-12-11T14:18:39+0000,https://www.nytimes.com/2018/12/11/business/us-china-trade-markets.html
Trade War Escalates. Stock Markets Shrug. Here’s Why.,"In China, Europe and the U.S., stock indexes rose slightly, after President Trump imposed new tariffs on China and China retaliated with its own tariffs.",2018-09-18T05:51:37+0000,https://www.nytimes.com/2018/09/18/business/trade-war-markets.html
Markets Tumble Again as U.S.-China Trade Tensions Continue to Rise,Investors appear to be struggling to anticipate the outcome of a tit-for-tat tariff exchange between the world’s two largest economies. Remarks by the Fed chairman indicated that the investors aren’t alone.,2018-04-06T09:08:57+0000,https://www.nytimes.com/2018/04/06/business/us-china-trade-markets.html
"Wall St., Rattled by Fears of Trade War, Has Rocky Open Before Gaining Ground",President Trump’s vow to impose stiff steel and aluminum tariffs has shaken financial markets and drawn plenty of international criticism.,2018-03-02T12:58:57+0000,https://www.nytimes.com/2018/03/02/business/world-stocks-trump.html
Isabelle Kocher Breaks the Corporate Mold,The chief executive of the French company Engie is one of the seven chairwomen leading the World Economic Forum this year.,2018-01-21T11:00:15+0000,https://www.nytimes.com/2018/01/21/business/davos-women-isabelle-kocher.html
Morning Agenda: Intel Scores a Victory in Europe,A mandated re-examination of a $1.3 billion fine against the chip maker is a blow to Europe’s tough stance against American technology giants.,2017-09-06T10:46:36+0000,https://www.nytimes.com/2017/09/06/business/dealbook/intel-european-union-antitrust-court-decision.html
Stocks Fall as Tensions Rise Between U.S. and North Korea,"Shares in the U.S. opened lower, following declines in Europe and Asia, as investors appeared to be moving their money into bond markets and gold.",2017-08-09T08:46:29+0000,https://www.nytimes.com/2017/08/09/business/us-north-korea-stock-markets.html
Asian and European Markets Down on Turmoil in Washington,The sharp declines reflected concerns that President Trump’s policy agenda was being drowned out by persistent turmoil at the White House.,2017-05-18T12:50:49+0000,https://www.nytimes.com/2017/05/18/business/dealbook/stocks-markets.html
Morning Agenda: Macron Victory Reassures Markets,"Mr. Macron’s pledges to loosen labor rules, make France more competitive and deepen ties with the European Union helped bolster the value of the euro.",2017-05-08T10:06:28+0000,https://www.nytimes.com/2017/05/08/business/dealbook/france-macron-markets.html
"European Markets Swing Upward, Then Settle, in Wake of French Election","Investors may feel that risks in Europe are subsiding somewhat after the defeat of the far-right candidate, analysts say.",2017-05-08T03:12:30+0000,https://www.nytimes.com/2017/05/07/business/dealbook/stocks-asia-france-election.html
"Movers: Markets Up, and Jimmy Choo for Sale",We’re following major developments in the markets throughout the day. Check back for the latest updates.,2017-04-24T12:40:04+0000,https://www.nytimes.com/2017/04/24/business/dealbook/movers-stocks-bonds-markets.html
LVMH Executive Responds to Documentary Film,"The executive, Bernard Arnault, spoke at a shareholders’ meeting.",2016-04-15T14:50:46+0000,https://artsbeat.blogs.nytimes.com/2016/04/15/lvmh-executive-responds-to-documentary-film/
Morning Agenda:  A Growing Conflict in Wall St. Buyouts,Markets Calmer After a Tumultuous Start to the Year | G.M. Invests in Lyft | Dalian Wanda to Buy Stake in Legendary Entertainment,2016-01-05T11:16:40+0000,https://news.blogs.nytimes.com/2016/01/05/morning-agenda-a-growing-conflict-in-wall-st-buyouts/
Morning Agenda: Stocks Fall After Paris Attacks,Campaign Against Efforts to Restrict Arbitration | An Irresistible Tax Move for Pfizer | Two Competing Drugs and Billion-Dollar Questions,2015-11-16T10:58:15+0000,https://news.blogs.nytimes.com/2015/11/16/morning-agenda-stocks-fall-after-paris-attacks/
"After Paris Attacks, Waiting for Shopping and Culture to Come Back to Life","In other cities hit by terrorist attacks, effects on commerce have been short-lived. Will the French capital — and the broader eurozone — be different?",2015-11-16T07:50:48+0000,https://www.nytimes.com/2015/11/17/business/international/france-shootings-economy.html
Fed’s Decision on Rates Rattles Some Global Markets,"Stocks in Japan lost 2 percent, while markets in Europe traded lower.",2015-09-18T02:32:15+0000,https://www.nytimes.com/2015/09/19/business/asian-markets-open-with-mixed-response-to-feds-decision-on-rates.html
Stocks Dive as Worries About Asia Reverberate,The Standard & Poor’s 500-stock index closed down nearly 3 percent and the Dow Jones industrial average plunged 469 points as turbulence continued.,2015-09-01T17:25:33+0000,https://www.nytimes.com/2015/09/02/business/dealbook/daily-stock-market-activity.html
Global Markets Dip After Greek Referendum,Shares in major exchanges ​fell but did not plunge after the no vote in Greece sent Athens and its creditors into uncharted territory.,2015-07-06T01:37:17+0000,https://www.nytimes.com/2015/07/07/business/daily-stock-market-activity.html
Greece’s Debt Crisis Sends Stocks Falling Around the Globe,Stocks slumped on Wall Street and fell sharply in Europe and Asia as Greece’s difficulties spread worries about possible broader harm to financial systems.,2015-06-29T08:14:59+0000,https://www.nytimes.com/2015/06/30/business/international/daily-stock-market-activity.html
France Answers Hostile Bids With the Two-Vote Share ,"A law that gives two votes per share to long-term shareholders in French companies, meant to rein in hostile takeovers, could instead shift power to a different set of interests.",2015-05-19T22:39:17+0000,https://www.nytimes.com/2015/05/20/business/dealbook/france-answers-hostile-bids-with-the-two-vote-share.html
Vivendi Chairman Bolloré Wins Battle Over Double Voting Rights,Mr. Bolloré leveraged a law on shareholder rights that could be invoked at annual meetings of other big French companies including Renault.,2015-04-17T14:28:29+0000,https://www.nytimes.com/2015/04/18/business/dealbook/vivendi-chairman-bollore-wins-battle-over-double-voting-rights.html
Vivendi Chairman’s Group Increases Stake in Company,"Vincent Bolloré, one of France’s richest men, raised his holding to 10.2 percent from 8.15 percent, possibly as a defensive move against asset sales.",2015-03-27T14:16:28+0000,https://www.nytimes.com/2015/03/28/business/vivendi-chairmans-group-increases-stake-in-company.html
Morning Agenda: Stocks Fall After Paris Attacks,Campaign Against Efforts to Restrict Arbitration | An Irresistible Tax Move for Pfizer | Two Competing Drugs and Billion-Dollar Questions,2015-11-16T10:58:15+0000,https://news.blogs.nytimes.com/2015/11/16/morning-agenda-stocks-fall-after-paris-attacks/
"After Paris Attacks, Waiting for Shopping and Culture to Come Back to Life","In other cities hit by terrorist attacks, effects on commerce have been short-lived. Will the French capital — and the broader eurozone — be different?",2015-11-16T07:50:48+0000,https://www.nytimes.com/2015/11/17/business/international/france-shootings-economy.html
Fed’s Decision on Rates Rattles Some Global Markets,"Stocks in Japan lost 2 percent, while markets in Europe traded lower.",2015-09-18T02:32:15+0000,https://www.nytimes.com/2015/09/19/business/asian-markets-open-with-mixed-response-to-feds-decision-on-rates.html
Stocks Dive as Worries About Asia Reverberate,The Standard & Poor’s 500-stock index closed down nearly 3 percent and the Dow Jones industrial average plunged 469 points as turbulence continued.,2015-09-01T17:25:33+0000,https://www.nytimes.com/2015/09/02/business/dealbook/daily-stock-market-activity.html
Global Markets Dip After Greek Referendum,Shares in major exchanges ​fell but did not plunge after the no vote in Greece sent Athens and its creditors into uncharted territory.,2015-07-06T01:37:17+0000,https://www.nytimes.com/2015/07/07/business/daily-stock-market-activity.html
Greece’s Debt Crisis Sends Stocks Falling Around the Globe,Stocks slumped on Wall Street and fell sharply in Europe and Asia as Greece’s difficulties spread worries about possible broader harm to financial systems.,2015-06-29T08:14:59+0000,https://www.nytimes.com/2015/06/30/business/international/daily-stock-market-activity.html
France Answers Hostile Bids With the Two-Vote Share ,"A law that gives two votes per share to long-term shareholders in French companies, meant to rein in hostile takeovers, could instead shift power to a different set of interests.",2015-05-19T22:39:17+0000,https://www.nytimes.com/2015/05/20/business/dealbook/france-answers-hostile-bids-with-the-two-vote-share.html
Vivendi Chairman Bolloré Wins Battle Over Double Voting Rights,Mr. Bolloré leveraged a law on shareholder rights that could be invoked at annual meetings of other big French companies including Renault.,2015-04-17T14:28:29+0000,https://www.nytimes.com/2015/04/18/business/dealbook/vivendi-chairman-bollore-wins-battle-over-double-voting-rights.html
Vivendi Chairman’s Group Increases Stake in Company,"Vincent Bolloré, one of France’s richest men, raised his holding to 10.2 percent from 8.15 percent, possibly as a defensive move against asset sales.",2015-03-27T14:16:28+0000,https://www.nytimes.com/2015/03/28/business/vivendi-chairmans-group-increases-stake-in-company.html
Enthusiasm for I.P.O.s Returns in Europe as 4 Companies Debut,"Since the new year, I.P.O. activity is off to its best start since the financial crisis, with 16 offerings raising $3.84 billion in gross proceeds, according to Thomson Reuters.",2015-02-06T11:14:05+0000,https://dealbook.nytimes.com/2015/02/06/enthusiasm-for-i-p-o-s-returns-in-europe-as-4-companies-debut/
Germany Planning Quotas for Women in Boardrooms,"Chancellor Angela Merkel of Germany said a bill, requiring that women make up at least 30 percent of the nonexecutive members of corporate boards, would be introduced in Parliament on Dec. 11.",2014-11-26T21:49:28+0000,https://www.nytimes.com/2014/11/27/world/europe/germany-to-mandate-womens-membership-on-corporate-boards.html
Unity on Eurozone Growth Eludes Germany and France,"Meeting in Berlin, the French and German finance and economy ministers said only that they had agreed to come up with economic proposals by Dec. 1.",2014-10-20T13:57:20+0000,https://www.nytimes.com/2014/10/21/business/international/eurozone-economy.html
BNP Paribas Shares Fall on Fine Fears,Shares of France’s largest bank end down 2.4 percent over concerns that potential huge penalties exacted by authorities in the United States could undermine the bank’s capital strength.,2014-05-30T14:53:37+0000,https://dealbook.nytimes.com/2014/05/30/bnp-paribas-shares-fall-on-fine-fears/
"Global Optimism for 2014, With an Eye on Dormant Risks","Although buoyed by a resurgence of stock markets in Japan and Europe, many investors were still wary, given the swiftness of the rebounds.",2013-12-31T15:48:11+0000,https://www.nytimes.com/2014/01/01/business/international/optimism-of-global-investors-is-tempered-by-concern.html
Events on Long Island,A guide to cultural and recreational events on Long Island.,2013-11-22T18:54:27+0000,https://www.nytimes.com/2013/11/24/nyregion/events-on-long-island.html
The Latest Fashion Accessory Is an I.P.O.,LVMH may have found an original way to keep close the hot designers that made it worth 75 billion euros and created the world’s largest luxury group.,2013-10-03T16:31:59+0000,https://dealbook.nytimes.com/2013/10/03/the-latest-fashion-accessory-is-an-i-p-o/
Merger Is Set To Create World’s No. 1 Ad Company ,"Together, Omnicom Group and the Publicis Groupe would become the world’s biggest advertising company, setting their sights on digital media.",2013-07-28T12:40:53+0000,https://www.nytimes.com/2013/07/29/business/media/advertising-giants-announce-35-1-billion-merger.html
Asian Markets Calmed by China Central Bank,"Mainland Chinese stocks were down slightly Wednesday, while other regional markets rose, after China’s central bank pledged to support banks facing cash shortfalls.",2013-06-26T05:36:34+0000,https://www.nytimes.com/2013/06/27/business/global/asian-markets-react-to-china-central-bank.html
Japanese Stocks Descend Into Bear Market,The Nikkei 225 index fell 6.4 percent amid flagging enthusiasm for the policies of Prime Minister Shinzo Abe.,2013-06-13T03:33:15+0000,https://www.nytimes.com/2013/06/14/business/global/asian-stock-markets.html
Markets Jump on Hopes for European Action,Investors seemed to believe that new recessionary data out of the euro zone would pressure the European Central Bank to cut interest rates next week.,2013-04-23T12:10:42+0000,https://www.nytimes.com/2013/04/24/business/global/data-points-to-slowdown-in-germany.html
Official Europe’s Reaction to Cyprus Deal Is Mixed,"Financial markets, at first buoyed by the bailout news, began reversing course as the implications of the agreement began to sink in.",2013-03-25T10:10:17+0000,https://www.nytimes.com/2013/03/26/business/global/cyprus-bailout-stock-market-reaction.html
"Off the Charts: As January Goes, So Goes the Year?","January was a good month for the stock market in the United States, which could be a sign this will be a good year.",2013-02-01T17:29:40+0000,https://www.nytimes.com/interactive/2013/02/01/business/As-January-Goes-So-Goes-the-Year.html
Push for Gender Balance on Boards Gains Steam,"The proportion of women taking positions on European corporate boards is rising at the fastest pace in a decade, officials said.",2013-01-24T20:27:09+0000,https://www.nytimes.com/2013/01/25/business/global/measures-promoting-women-in-business-are-working-reding-says.html
Markets Subdued in Advance of News on Euro,"Few analysts expected significant action from the European Central Bank on Thursday, and concerns were growing about a looming crisis over fiscal policies in the United States.",2012-11-08T10:08:33+0000,https://www.nytimes.com/2012/11/09/business/global/daily-euro-zone-watch.html
O.E.C.D. Finds New Signs of Weakness in World Economy,"The organization pointed to a slowdown in Italy, China, Russia and India, as well as a decline in research and development spending outside of Asia.",2012-09-13T11:46:46+0000,https://www.nytimes.com/2012/09/14/business/global/oecd-finds-new-signs-of-weakening-in-global-economy.html
Markets Tumble as Europe’s Central Bank Disappoints,"Stock prices and the euro fell on Thursday, while Spanish 10-year government bond yields rose back above levels considered unsustainable in the medium term.",2012-08-02T08:57:49+0000,https://www.nytimes.com/2012/08/03/business/global/daily-euro-zone-watch.html
Assurances on Euro by Central Bank Chief Lift Stocks,Markets and the euro rose after Mario Draghi told a conference in London that the central bank was prepared to “do whatever it takes to preserve” the currency.,2012-07-26T13:13:46+0000,https://www.nytimes.com/2012/07/27/business/global/ecb-president-talks-up-the-euro-and-lifts-stocks.html
Spain’s Plight Helps Depress Global Stocks and the Euro,Stocks on Wall Street traded lower as concerns about Spain’s financing problems plagued markets anew.,2012-07-23T14:41:44+0000,https://www.nytimes.com/2012/07/24/business/daily-stock-market-activity.html
Spanish Bond Yields Soar,"Spain's borrowing costs rose to record levels, and Spanish and Italian regulators banned short-selling of shares.",2012-07-23T11:54:34+0000,https://www.nytimes.com/2012/07/24/business/global/spanish-bond-yields-soar-while-global-stocks-sink.html
Shares Are Lower on Weak Jobs Data,The main stock indexes closed down about 1 percent after the Labor Department said employers hired at a weaker-than-anticipated pace in June.,2012-07-06T13:52:32+0000,https://www.nytimes.com/2012/07/07/business/daily-stock-market-activity.html
"U.S. Manufacturing Slips, Weighing on Stocks","It was the first monthly contraction since 2009, partly because of a slowdown in orders from Asia and Europe.",2012-07-02T19:04:43+0000,https://www.nytimes.com/2012/07/03/business/economy/us-manufacturing-slips.html
Markets Cheer Europe’s Bailout Plan,Stocks on Wall Street surged after European leaders agreed to use bailout funds to recapitalize struggling banks directly. Euro zone shares closed ahead 5 percent.,2012-06-29T13:44:32+0000,https://www.nytimes.com/2012/06/30/business/daily-stock-market-activity.html
Greek Finance Minister Steps Down,The government said it was struggling to contain risks due to its exposure in the Greek economy. Stocks and the euro fell across Europe as pessimism reigned about a European summit this week.,2012-06-25T08:44:54+0000,https://www.nytimes.com/2012/06/26/business/global/daily-euro-zone-watch.html
Wall Street Dips Slightly on Fed Decision,Traders responded tepidly to the Federal Reserve’s announcement to extend a program intended to drive down long-term interest rates.,2012-06-20T13:46:22+0000,https://www.nytimes.com/2012/06/21/business/daily-stock-market-activity.html
Aftermath of the Greek Vote,Live updates on the reaction around the world to the Greek elections.,2012-06-17T20:13:40+0000,https://thelede.blogs.nytimes.com/2012/06/17/aftermath-of-the-greek-vote/
A Contrarian Case for Investing in Europe,"All of Europe’s bad news may be adding up to some long-term opportunities for stock investors, one asset manager says. But, he adds, it doesn’t look like a place for quick profits.",2012-06-16T16:32:54+0000,https://www.nytimes.com/2012/06/17/your-money/why-european-stocks-may-be-ripe-for-long-term-gains.html
Wall Street Tumbles 2% on Jobs Data,Stocks on Wall Street closed sharply lower and benchmark bond prices marched higher as the latest jobs data in the United States provided evidence that the economy was still struggling.,2012-06-01T14:16:32+0000,https://www.nytimes.com/2012/06/02/business/daily-stock-market-activity.html
Europe’s Economic Troubles Push Investors Toward 10-Year Note,"The key market indexes on Wall Street fell more than 1 percent, and the demand for safe investments pushed the yield on the 10-year Treasury note to 1.62 percent.",2012-05-30T14:42:45+0000,https://www.nytimes.com/2012/05/31/business/daily-stock-market-activity.html
Stock Markets Calm on Lukewarm G-8 Support for Euro,"The Group of 8 leaders at their weekend meeting offered moral support, but no road map, for addressing the crisis.",2012-05-21T08:30:27+0000,https://www.nytimes.com/2012/05/22/business/global/daily-euro-zone-watch.html
"Stocks End Little Changed, Despite JPMorgan Loss","Stocks finished close to even on Wall Street, although the financial sector declined in the wake of trading losses at JPMorgan Chase.",2012-05-11T13:42:02+0000,https://www.nytimes.com/2012/05/12/business/daily-stock-market-activity.html
Few Options if Europe Turns Away From Austerity,"As voters call for fewer government cutbacks and more spending, investors are asking: How will it be paid for?",2012-05-08T19:18:53+0000,https://www.nytimes.com/2012/05/09/business/global/if-europe-turns-away-from-austerity-who-will-foot-the-bill.html
Stocks Fall on Greek Turmoil,Stocks and the euro fell after the leading party in the Greek Parliament was unable to form a government.,2012-05-08T10:57:28+0000,https://www.nytimes.com/2012/05/09/business/global/daily-stock-market-activity.html
Markets Are Calm After Political Shake-Up in Europe,Stocks were mixed Monday on Wall Street as weekend election results in Greece and France added to the uncertainty created by last week’s disappointing jobs data in the United States.,2012-05-07T04:21:08+0000,https://www.nytimes.com/2012/05/08/business/global/daily-stock-market-activity.html
Voting for Yesterday in France,The candidates and the citizens agree: Repeal the 21st century.,2012-04-21T01:08:10+0000,https://www.nytimes.com/2012/04/21/opinion/voting-for-yesterday-in-france.html
Stocks Climb on Profits and Spain’s Debt Sale,"Stock markets on both sides of the Atlantic were encouraged by corporate profits, a well-received sale of government debt in Spain and a recovery in Apple shares.",2012-04-17T13:56:40+0000,https://www.nytimes.com/2012/04/18/business/daily-stock-market-activity.html
"Shares Dip Lower, Led by Oil Prices","Stock indexes fell after commodity prices, especially crude oil, tumbled.",2012-03-28T13:52:15+0000,https://www.nytimes.com/2012/03/29/business/daily-stock-market-activity.html
Hedge Funds Take Another Look at Greek Debt,"Even after getting burned by bad bets on Greek debt, some hedge funds are considering buying more of the country’s bonds, which have continued to fall in value.",2012-02-22T18:47:55+0000,https://dealbook.nytimes.com/2012/02/22/hedge-funds-take-another-look-at-greek-debt/
"Dow Hits 13,000, but Eases Off the High","The Dow Jones industrial average exceeded 13,000 points in late morning trading, but then fell back, as investors weighed a bailout deal for Greece and the latest corporate earnings reports.",2012-02-21T14:44:22+0000,https://www.nytimes.com/2012/02/22/business/daily-stock-market-activity.html
Market Response Tepid To U.S. Labor Report,"Stocks on Wall Street were mixed on Friday, despite a positive showing by the United States labor market for December.",2012-01-06T14:59:21+0000,https://www.nytimes.com/2012/01/07/business/daily-stock-market-activity.html
World Markets Turn Higher,"Several indexes had gains on a day of light trading, with many exchanges closed for holidays.",2012-01-02T23:57:58+0000,https://www.nytimes.com/2012/01/03/business/daily-stock-market-activity.html
Markets Subdued in Advance of News on Euro,"Few analysts expected significant action from the European Central Bank on Thursday, and concerns were growing about a looming crisis over fiscal policies in the United States.",2012-11-08T10:08:33+0000,https://www.nytimes.com/2012/11/09/business/global/daily-euro-zone-watch.html
O.E.C.D. Finds New Signs of Weakness in World Economy,"The organization pointed to a slowdown in Italy, China, Russia and India, as well as a decline in research and development spending outside of Asia.",2012-09-13T11:46:46+0000,https://www.nytimes.com/2012/09/14/business/global/oecd-finds-new-signs-of-weakening-in-global-economy.html
Markets Tumble as Europe’s Central Bank Disappoints,"Stock prices and the euro fell on Thursday, while Spanish 10-year government bond yields rose back above levels considered unsustainable in the medium term.",2012-08-02T08:57:49+0000,https://www.nytimes.com/2012/08/03/business/global/daily-euro-zone-watch.html
Assurances on Euro by Central Bank Chief Lift Stocks,Markets and the euro rose after Mario Draghi told a conference in London that the central bank was prepared to “do whatever it takes to preserve” the currency.,2012-07-26T13:13:46+0000,https://www.nytimes.com/2012/07/27/business/global/ecb-president-talks-up-the-euro-and-lifts-stocks.html
Spain’s Plight Helps Depress Global Stocks and the Euro,Stocks on Wall Street traded lower as concerns about Spain’s financing problems plagued markets anew.,2012-07-23T14:41:44+0000,https://www.nytimes.com/2012/07/24/business/daily-stock-market-activity.html
Spanish Bond Yields Soar,"Spain's borrowing costs rose to record levels, and Spanish and Italian regulators banned short-selling of shares.",2012-07-23T11:54:34+0000,https://www.nytimes.com/2012/07/24/business/global/spanish-bond-yields-soar-while-global-stocks-sink.html
Shares Are Lower on Weak Jobs Data,The main stock indexes closed down about 1 percent after the Labor Department said employers hired at a weaker-than-anticipated pace in June.,2012-07-06T13:52:32+0000,https://www.nytimes.com/2012/07/07/business/daily-stock-market-activity.html
"U.S. Manufacturing Slips, Weighing on Stocks","It was the first monthly contraction since 2009, partly because of a slowdown in orders from Asia and Europe.",2012-07-02T19:04:43+0000,https://www.nytimes.com/2012/07/03/business/economy/us-manufacturing-slips.html
Markets Cheer Europe’s Bailout Plan,Stocks on Wall Street surged after European leaders agreed to use bailout funds to recapitalize struggling banks directly. Euro zone shares closed ahead 5 percent.,2012-06-29T13:44:32+0000,https://www.nytimes.com/2012/06/30/business/daily-stock-market-activity.html
Greek Finance Minister Steps Down,The government said it was struggling to contain risks due to its exposure in the Greek economy. Stocks and the euro fell across Europe as pessimism reigned about a European summit this week.,2012-06-25T08:44:54+0000,https://www.nytimes.com/2012/06/26/business/global/daily-euro-zone-watch.html
Wall Street Dips Slightly on Fed Decision,Traders responded tepidly to the Federal Reserve’s announcement to extend a program intended to drive down long-term interest rates.,2012-06-20T13:46:22+0000,https://www.nytimes.com/2012/06/21/business/daily-stock-market-activity.html
Aftermath of the Greek Vote,Live updates on the reaction around the world to the Greek elections.,2012-06-17T20:13:40+0000,https://thelede.blogs.nytimes.com/2012/06/17/aftermath-of-the-greek-vote/
